id,name,trusted,open_vacancies
41,"ЮНЭКТ",1,1
59,"РОЛЬФ, группа компаний",1,1
65,"Московский аэропорт Домодедово",1,3
80,"Альфа-Банк",1,3
124,"Coleman Services",1,6
125,"Торговый Дизайн",1,1
154,Diasoft,1,7
172,"1C-Рарус",1,3
175,"Генерация (Generation Invest)",1,1
180,"Kontakt InterSearch Russia",1,1
227,"Кадровое агентство ИМПЕРИЯ КАДРОВ",1,1
232,Berner&Stafford,1,1
272,"DHL Express",1,1
333,"CONSORT Group/КОНСОРТ",1,1
336,"Авиком Бизнес Технологии",1,1
343,"СофтБаланс",1,3
381,"Телеком-Сервис ИТ, Группа компаний",1,1
393,Mr.Doors,1,2
404,"ЗЕНИТ, банк",1,2
407,"Гарант",1,1
414,"Металлокомплект-М",1,1
470,"АРТИ",1,1
522,"Объединенная металлургическая компания",1,1
606,"Астор",1,2
610,"Агентство Бизнес и Кадры",1,3
702,"ОВЕН, Производственное объединение",1,1
708,"Фаворит, Международный кадровый центр",1,1
760,"САТЕЛ, Группа компаний",1,1
798,"Экспобанк",1,1
921,"Эксимпак",1,1
953,"КБ «Уральский банк реконструкции и развития» (УБРиР)",1,2
981,"Калашников",1,1
985,"Кадровое агентство Юнити",1,30
993,LIBERTEX,1,1
1007,"ПАРФЮМ",1,1
1009,CSBI,1,1
1044,"НЭО Центр",1,1
1068,"Cornerstone Russia",1,1
1124,"Brunel Russia",1,3
1140,"Планета Электрика (ЗАО Электрокомплектсервис)",1,1
1165,"Издательство КНОРУС",1,1
1190,"Восточный Ветер",1,1
1217,"СТРАТЕГИЯ",1,2
1222,"Галс Управление активами",1,1
1283,"Электрон, НИПК",1,2
1326,"ГК «ВИЗАВИ Консалт»",1,3
1346,"Черкизово, Группа предприятий",1,1
1417,"Армтек",1,1
1439,"ВСК, САО",1,2
1466,"Транспортно-логистический холдинг Major",1,3
1525,INFOLine,1,1
1697,"Гамма-Центр (банковское оборудование)",1,1
1732,ESET,1,2
1735,"НПК КАТАРСИС",1,1
1825,"GfK Rus",1,1
1833,"Брокеркредитсервис",1,1
1844,"Минерал-Инфо",1,1
1861,"Системные Технологии",1,4
1882,"ГАММА",1,1
1904,"НСК",1,1
1988,"Страховая группа МАКС",1,1
1992,"Бионика",1,2
2009,"Antal Russia",1,2
2102,"Renaissance Capital",1,2
2157,"НОРДТЕКС, Корпорация",1,1
2180,Ozon,1,2
2202,"Росинтер Ресторантс",1,1
2206,"Простор Телеком",1,1
2222,"ЕВРОЦЕМЕНТ груп",1,1
2237,"Delight Realty",1,1
2343,"Спортмастер",1,2
2346,"Волга-Днепр, Группа компаний",1,1
2368,"BELUGA GROUP",1,1
2383,Citibank,1,1
2409,"Дымов",1,1
2421,RENAULT,1,1
2476,"Russ Outdoor",1,12
2480,"Палитра, НПК",1,1
2523,"М.Видео-Эльдорадо",1,7
