network,geoname_id,registered_country_geoname_id,represented_country_geoname_id,is_anonymous_proxy,is_satellite_provider,postal_code,latitude,longitude,accuracy_radius
2001:240:21e0::/45,1856717,1861060,"",0,0,880-0051,31.8315,131.3067,100
2001:240:2a7a::/47,1858421,1861060,"",0,0,861-5271,32.7718,130.6393,100
2001:240:2ad4::/48,1926004,1861060,"",0,0,640-8269,34.2357,135.1606,100
2001:268:9018::/47,1859730,1861060,"",0,0,333-0851,35.838,139.6817,50
2001:268:9031::/49,1861060,1861060,"",0,0,"",35.6897,139.6895,500
2001:268:9201:8000::/49,1861060,1861060,"",0,0,"",35.6897,139.6895,200
2001:268:920f:4000::/50,1862752,1861060,"",0,0,579-8051,34.6541,135.6425,500
2001:268:922b::/50,1862752,1861060,"",0,0,577-0801,34.6626,135.5879,200
2001:268:924f:c000::/50,1861060,1861060,"",0,0,"",35.6897,139.6895,200
2001:268:9820::/44,1861060,1861060,"",0,0,"",35.6897,139.6895,500
2001:268:9838::/45,1848354,1861060,"",0,0,223-0051,35.5475,139.6445,200
2001:268:984c::/51,1860871,1861060,"",0,0,571-0071,34.7435,135.598,500
2001:268:9a45::/49,1849814,1861060,"",0,0,473-0921,35.0833,136.8833,200
2001:268:9b4e::/47,1852964,1861060,"",0,0,327-0001,36.4232,139.4763,200
2001:268:c02d:4000::/50,1856057,1861060,"",0,0,460-0001,35.1865,136.8994,500
2001:268:c04c::/49,1926004,1861060,"",0,0,640-8461,34.2404,135.1972,200
2001:268:c0c0::/48,1861060,1861060,"",0,0,"",35.6897,139.6895,500
2001:268:c0cb:f000::/52,6930379,1861060,"",0,0,160-0021,35.6918,139.7002,200
2001:268:c0d1::/48,1861060,1861060,"",0,0,"",35.6897,139.6895,100
2001:268:c1a0::/43,1861060,1861060,"",0,0,"",35.6897,139.6895,100
2001:2d8:216::/47,1841893,1835841,"",0,0,08841,37.4747,126.9472,20
2001:2d8:30b:4000::/50,1843564,1835841,"",0,0,21539,37.4562,126.7288,20
2001:2d8:917:c000::/50,1838524,1835841,"",0,0,48943,35.1003,129.0442,100
2001:2d8:953::/49,1838524,1835841,"",0,0,48943,35.1003,129.0442,100
2001:2d8:6422:8000::/50,1845457,1835841,"",0,0,55000,35.8189,127.1378,100
2001:2d8:642a::/48,1835235,1835841,"",0,0,34943,36.3269,127.4316,100
2001:2d8:6446::/47,1835329,1835841,"",0,0,41934,35.8723,128.5924,200
2001:2d8:6660:8000::/49,1845759,1835841,"",0,0,31132,36.8039,127.1556,100
2001:2d8:6717:8000::/49,1835329,1835841,"",0,0,41934,35.8723,128.5924,100
2001:2d8:671e:c000::/50,6900741,1835841,"",0,0,40128,35.7647,128.2448,100
2001:2d8:6774::/48,1841986,1835841,"",0,0,08226,37.4944,126.8673,100
2001:2d8:6823:4000::/51,1835235,1835841,"",0,0,34943,36.3269,127.4316,100
2001:2d8:6851::/51,1838716,1835841,"",0,0,14554,37.4989,126.7831,5
2001:2d8:6b1b:c000::/51,1842485,1835841,"",0,0,10461,37.6564,126.835,100
2001:2d8:6b2b:8000::/51,11169440,1835841,"",0,0,57240,35.297,126.7279,100
2001:2d8:6b2b:f000::/52,1835329,1835841,"",0,0,41934,35.8723,128.5924,200
2001:2d8:6b5e:2000::/51,1834245,1835841,"",0,0,06970,37.4934,126.9402,100
2001:2d8:6f40:8000::/52,1838524,1835841,"",0,0,48943,35.1003,129.0442,200
2001:2d8:e076:8000::/49,1897000,1835841,"",0,0,13332,37.4331,127.1375,200
2001:2d8:e35e:6000::/51,1832847,1835841,"",0,0,11445,37.8139,127.0234,50
2001:2d8:e62c::/50,6573518,1835841,"",0,0,05670,37.5079,127.1177,100
2001:2d8:e62c:a000::/51,1845759,1835841,"",0,0,31132,36.8039,127.1556,50
2001:2d8:e708:8000::/50,8349533,1835841,"",0,0,08070,37.5137,126.8482,100
2001:2d8:e71c:c000::/50,1841810,1835841,"",0,0,12761,37.4048,127.2531,100
