network,geoname_id,registered_country_geoname_id,represented_country_geoname_id,is_anonymous_proxy,is_satellite_provider,postal_code,latitude,longitude,accuracy_radius
1.2.218.0/23,1609350,1605651,,0,0,10330,13.7749,100.5197,10
1.39.21.128/27,1264646,1269750,,0,0,751030,20.0262,86.2941,500
1.79.128.0/19,1861060,1861060,,0,0,,35.6897,139.6895,500
1.165.144.0/21,1668399,1668284,,0,0,,24.144,120.6844,1
1.192.208.0/23,1783873,1814991,,0,0,,32.9751,114.0284,500
1.211.160.0/20,1835841,1835841,,0,0,,37.5112,126.9741,200
1.231.64.0/21,1835848,1835841,,0,0,02878,37.5985,126.9783,5
1.241.244.0/22,1841909,1835841,,0,0,13808,37.4257,126.9875,1
1.248.100.0/22,1841066,1835841,,0,0,58647,34.8142,126.3905,200
2.6.209.0/24,3005915,3017382,,0,0,82110,44.2532,1.1355,100
2.8.7.0/24,2979299,3017382,,0,0,85160,46.7833,-2.0833,100
2.8.60.0/23,2986059,3017382,,0,0,44380,47.2668,-2.3379,200
2.12.138.0/23,3013862,3017382,,0,0,59320,50.6083,2.9914,5
2.15.220.0/23,2990440,3017382,,0,0,06200,43.7045,7.2597,5
2.17.204.0/22,963241,2750405,,0,0,2032,-26.0994,27.9816,100
2.17.218.0/24,2750405,2750405,,0,0,,52.3824,4.8995,100
2.25.98.128/25,2647937,2635167,,0,0,SE10,51.4805,-0.0113,1
2.26.170.0/25,2656580,2635167,,0,0,SW17,51.4327,-0.1693,1
2.27.49.0/25,8260056,2635167,,0,0,CF41,51.6508,-3.4832,5
2.38.166.0/24,3170027,3175395,,0,0,85100,40.6421,15.8079,100
2.42.76.0/24,3163995,3175395,,0,0,27058,44.9915,9.0117,100
2.44.73.128/25,3178957,3175395,,0,0,47023,44.1379,12.2347,200
2.44.126.128/25,3175986,3175395,,0,0,34170,45.9409,13.6217,20
2.44.202.0/24,3173435,3175395,,0,0,20123,45.505,9.2199,10
2.45.245.0/24,3171778,3175395,,0,0,80044,40.8562,14.4773,20
2.58.139.0/25,3165524,3175395,,0,0,10125,45.0914,7.6639,200
2.62.151.0/24,1503901,2017370,,0,0,650000,55.3299,86.0765,1000
2.64.8.0/23,2700858,2661886,,0,0,"617 71",58.5363,15.9678,200
2.67.4.0/23,2686657,2661886,,0,0,"703 42",59.274,15.2119,200
2.67.221.0/24,2673722,2661886,,0,0,"129 55",59.2973,17.9944,200
2.67.230.0/24,2720501,2661886,,0,0,"501 83",57.7192,12.9412,200
2.103.66.0/23,2635080,2635167,,0,0,WR8,52.0927,-2.2322,50
2.123.100.128/25,2654588,2635167,,0,0,BR1,51.4023,0.0458,20
2.133.168.0/21,1526384,1522867,,0,0,,43.2638,76.9293,1
2.136.94.0/23,2520447,2510769,,0,0,03560,38.4241,-0.3999,200
2.139.214.128/26,3128760,2510769,,0,0,08014,41.3954,2.2048,1
2.139.219.128/25,3117735,2510769,,0,0,28034,40.4153,-3.694,1000
2.141.43.0/24,3110643,2510769,,0,0,17220,41.7833,3.0333,100
2.141.100.0/22,3104707,2510769,,0,0,33316,43.4889,-5.3949,200
2.142.230.0/24,3129857,2510769,,0,0,28300,40.0368,-3.6045,200
2.202.29.0/25,2884509,2921044,,0,0,47800,51.3413,6.6016,5
2.202.117.0/24,2821515,2921044,,0,0,83278,47.8682,12.6433,10
2.206.160.0/24,2934691,2921044,,0,0,47169,51.5056,6.7444,5
2.217.28.0/22,2655984,2635167,,0,0,BT12,54.5396,-5.975,20
2.219.102.0/23,2652221,2635167,,0,0,CV3,52.3958,-1.4796,10
2.219.164.0/22,2643743,2635167,,0,0,E3,51.5245,-0.0255,20
2.221.161.0/24,2635650,2635167,,0,0,TQ1,50.478,-3.5182,20
2.222.136.0/22,2648579,2635167,,0,0,G40,55.8486,-4.2216,20
2.244.91.192/27,2884509,2921044,,0,0,47798,51.3336,6.5657,50
3.220.0.0/18,6252001,6252001,,0,0,,37.751,-97.822,1000
4.18.128.0/18,6252001,6252001,,0,0,,37.751,-97.822,1000
4.35.240.64/26,5809844,6252001,,0,0,98115,47.6859,-122.2994,5
4.71.102.0/25,5254739,6252001,,0,0,53024,43.3214,-87.9495,100
5.8.32.0/24,2755003,2017370,,0,0,2031,52.3891,4.6563,1000
5.11.224.0/19,745044,298795,,0,0,34110,41.0205,28.9753,100
5.28.146.0/23,293788,294640,,0,0,,32.0821,34.8122,10
5.29.192.0/24,293788,294640,,0,0,,32.0821,34.8122,5
5.33.148.0/24,2614030,2623032,,0,0,8600,56.1702,9.5449,100
5.37.157.0/24,287286,286963,,0,0,,23.6182,58.5945,20
5.48.166.128/25,3023477,3017382,,0,0,54400,49.5234,5.7168,50
5.49.9.0/24,2988507,3017382,,0,0,75018,48.8323,2.4075,1
5.54.230.0/23,264371,390903,,0,0,,37.9842,23.7353,5
5.62.58.149/32,2161314,2635167,,0,0,,-29.0533,167.9505,1000
5.62.63.4/32,2635167,2635167,,0,0,,51.4964,-0.1224,200
5.67.161.160/27,2650346,2635167,,0,0,DN22,53.3188,-0.9824,50
5.77.0.0/20,1489425,2017370,,0,0,634049,56.4957,84.9636,200
5.81.177.0/25,2645801,2635167,,0,0,W8,51.5005,-0.1905,5
5.89.20.0/24,3168673,3175395,,0,0,84128,40.68,14.7837,500
5.102.8.248/29,3181532,3175395,,0,0,24053,45.5432,9.6442,100
5.108.12.0/22,105343,102358,,0,0,,21.5168,39.2192,1000
5.133.57.192/26,3169561,3175395,,0,0,48100,44.4143,12.2134,100
5.135.168.0/22,3017382,3017382,,0,0,,48.8582,2.3387,500
5.136.228.0/22,2014407,2017370,,0,0,670000,51.8228,107.6176,1
5.143.22.0/23,2019528,2017370,,0,0,692904,42.8333,132.8947,200
5.143.164.0/23,480060,2017370,,0,0,170002,56.8649,35.8942,1
5.151.83.16/28,2633352,2635167,,0,0,YO1,53.958,-1.0842,200
5.153.25.128/25,2759794,2750405,,0,0,1012,52.3759,4.8975,100
5.164.8.0/22,479123,2017370,,0,0,432031,54.3354,48.3888,1
5.166.96.0/20,1510853,2017370,,0,0,656000,53.3596,83.7809,1
