geoname_id,locale_code,continent_code,continent_name,country_iso_code,country_name,subdivision_1_iso_code,subdivision_1_name,subdivision_2_iso_code,subdivision_2_name,city_name,metro_code,time_zone,is_in_european_union
77726,ru,AS,"Азия",YE,"Йемен",SH,"Шабва","","","","",Asia/Aden,0
102318,ru,AS,"Азия",SA,"Саудовская Аравия",04,"","","","","",Asia/Riyadh,0
105072,ru,AS,"Азия",SA,"Саудовская Аравия",14,"Административный округ Асир","","","Хамис-Мушайт","",Asia/Riyadh,0
107968,ru,AS,"Азия",SA,"Саудовская Аравия",02,"","","","","",Asia/Riyadh,0
109223,ru,AS,"Азия",SA,"Саудовская Аравия",03,"","","","Медина","",Asia/Riyadh,0
109435,ru,AS,"Азия",SA,"Саудовская Аравия",04,"","","","Аль-Джубайль","",Asia/Riyadh,0
128234,ru,AS,"Азия",IR,"Иран",08,"","","","Керман","",Asia/Tehran,0
155405,ru,AF,"Африка",TZ,"Танзания",04,"","","","","",Africa/Dar_es_Salaam,0
159675,ru,AF,"Африка",TZ,"Танзания",25,"","","","","",Africa/Dar_es_Salaam,0
216281,ru,AF,"Африка",CD,"Заир",NK,"","","","Гома","",Africa/Lubumbashi,0
233114,ru,AF,"Африка",UG,"Уганда",E,"",204,"","Джинджа","",Africa/Kampala,0
256432,ru,EU,"Европа",GR,"Греция",F,"",24,"","Нидри","",Europe/Athens,1
273607,ru,AS,"Азия",LB,"Ливан",JL,"","","","","",Asia/Beirut,0
291696,ru,AS,"Азия",AE,"ОАЭ",SH,"","","","Хор-Факкан","",Asia/Dubai,0
295031,ru,AS,"Азия",IL,"Израиль",D,"Южный район","","","","",Asia/Jerusalem,0
316746,ru,AS,"Азия",TR,"Турция",21,"","","","","",Europe/Istanbul,0
317109,ru,AS,"Азия",TR,"Турция",20,"Денизли","","","Денизли","",Europe/Istanbul,0
468657,ru,EU,"Европа",RU,"Россия",ORE,"Оренбургская область","","","Ясный","",Asia/Yekaterinburg,0
473762,ru,EU,"Европа",RU,"Россия",MUR,"Мурманская область","","","Видяево","",Europe/Moscow,0
485239,ru,EU,"Европа",RU,"Россия",KO,"Коми","","","Сыктывкар","",Europe/Moscow,0
490554,ru,EU,"Европа",RU,"Россия",ORE,"Оренбургская область","","","Сорочинск","",Asia/Yekaterinburg,0
514198,ru,EU,"Европа",RU,"Россия",VOR,"Воронежская область","","","Острогожск","",Europe/Moscow,0
515612,ru,EU,"Европа",RU,"Россия",KDA,"Краснодарский край","","","Ольгинка","",Europe/Moscow,0
526651,ru,EU,"Европа",RU,"Россия",MOS,"МО","","","Михнево","",Europe/Moscow,0
553522,ru,EU,"Европа",RU,"Россия",STA,"Ставрополье","","","Каменнобродская","",Europe/Moscow,0
571721,ru,EU,"Европа",RU,"Россия",LIP,"Липецкая область","","","Братовщина","",Europe/Moscow,0
587440,ru,EU,"Европа",EE,"Эстония",68,"Пярнумаа",638,"","Вяндра","",Europe/Tallinn,1
590447,ru,EU,"Европа",EE,"Эстония",37,"Харьюмаа",446,"","Маарду","",Europe/Tallinn,1
593926,ru,EU,"Европа",LT,"Литва",TE,"",51,"","Тельшяй","",Europe/Vilnius,1
597070,ru,EU,"Европа",LT,"Литва",AL,"",55,"","Меркине","",Europe/Vilnius,1
609404,ru,AS,"Азия",KZ,"Казахстан",AKT,"Актюбинская область","","","Хромтау","",Asia/Aqtobe,0
628906,ru,EU,"Европа",BY,"Беларусь",HO,"Gomelskaya Oblast","","","Дражня","",Europe/Minsk,0
631873,ru,EU,"Европа",FI,"Финляндия",15,"Северное Саво","","","Весанто","",Europe/Helsinki,1
638622,ru,EU,"Европа",FI,"Финляндия",14,"Северная Остроботния","","","Рукки","",Europe/Helsinki,1
647660,ru,EU,"Европа",FI,"Финляндия",06,"Канта-Хяме","","","Лоппи","",Europe/Helsinki,1
648200,ru,EU,"Европа",FI,"Финляндия",18,"Уусимаа","","","","",Europe/Helsinki,1
651889,ru,EU,"Европа",FI,"Финляндия",10,"Лапландия","","","","",Europe/Helsinki,1
654828,ru,EU,"Европа",FI,"Финляндия",12,"Остроботния","","","","",Europe/Helsinki,1
671976,ru,EU,"Европа",RO,"Румыния",TR,"","","","","",Europe/Bucharest,1
672700,ru,EU,"Европа",RO,"Румыния",HR,"","","","","",Europe/Bucharest,1
675937,ru,EU,"Европа",RO,"Румыния",CJ,"","","","Хуедин","",Europe/Bucharest,1
676176,ru,EU,"Европа",RO,"Румыния",IS,"","","","","",Europe/Bucharest,1
676331,ru,EU,"Европа",RO,"Румыния",NT,"","","","","",Europe/Bucharest,1
677489,ru,EU,"Европа",RO,"Румыния",DB,"","","","","",Europe/Bucharest,1
678831,ru,EU,"Европа",RO,"Румыния",IL,"","","","","",Europe/Bucharest,1
682301,ru,EU,"Европа",RO,"Румыния",IF,"Илфов","","","","",Europe/Bucharest,1
686716,ru,EU,"Европа",RO,"Румыния",BH,"","","","","",Europe/Bucharest,1
692881,ru,EU,"Европа",UA,"Украина",51,"Одесская область","","","Старая Некрасовка","",Europe/Kiev,0
695326,ru,EU,"Европа",UA,"Украина",07,"Волынская область","","","Рожище","",Europe/Kiev,0
711348,ru,EU,"Европа",UA,"Украина",61,"Тернопольская область","","","Бучач","",Europe/Kiev,0
712250,ru,EU,"Европа",UA,"Украина",05,"Винницкая область","","","Бершадь","",Europe/Kiev,0
712389,ru,EU,"Европа",UA,"Украина",32,"Киевская область","","","Березань","",Europe/Kiev,0
714353,ru,EU,"Европа",HU,"Венгрия",SZ,"Сабольч-Сатмар-Берег","","","","",Europe/Budapest,1
714718,ru,EU,"Европа",HU,"Венгрия",JN,"Яс-Надькун-Сольнок","","","","",Europe/Budapest,1
715259,ru,EU,"Европа",HU,"Венгрия",BZ,"Боршод-Абауй-Земплен","","","","",Europe/Budapest,1
715949,ru,EU,"Европа",HU,"Венгрия",BZ,"Боршод-Абауй-Земплен","","","","",Europe/Budapest,1
715960,ru,EU,"Европа",HU,"Венгрия",BZ,"Боршод-Абауй-Земплен","","","","",Europe/Budapest,1
721856,ru,EU,"Европа",HU,"Венгрия",CS,"","","","","",Europe/Budapest,1
722122,ru,EU,"Европа",HU,"Венгрия",BZ,"Боршод-Абауй-Земплен","","","","",Europe/Budapest,1
723585,ru,EU,"Европа",SK,"Словакия",KI,"","","","","",Europe/Bratislava,1
723595,ru,EU,"Европа",SK,"Словакия",KI,"","","","","",Europe/Bratislava,1
723768,ru,EU,"Европа",SK,"Словакия",BC,"","","","","",Europe/Bratislava,1
724016,ru,EU,"Европа",SK,"Словакия",KI,"","","","","",Europe/Bratislava,1
725128,ru,EU,"Европа",SK,"Словакия",KI,"","","","","",Europe/Bratislava,1
733515,ru,EU,"Европа",BG,"Болгария",08,"","","","Балчик","",Europe/Sofia,1
734979,ru,EU,"Европа",GR,"Греция",B,"",64,"","","",Europe/Athens,1
753320,ru,EU,"Европа",PL,"Польша",12,"Малопольское воеводство","","","","",Europe/Warsaw,1
755181,ru,EU,"Европа",PL,"Польша",06,"Люблинское воеводство","","","","",Europe/Warsaw,1
757298,ru,EU,"Европа",PL,"Польша",18,"Подкарпатское воеводство","","","","",Europe/Warsaw,1
762734,ru,EU,"Европа",PL,"Польша",18,"Подкарпатское воеводство","","","","",Europe/Warsaw,1
763323,ru,EU,"Европа",PL,"Польша",14,"Мазовецкое воеводство","","","Окунев","",Europe/Warsaw,1
763661,ru,EU,"Европа",PL,"Польша",14,"Мазовецкое воеводство","","","Нове-Място","",Europe/Warsaw,1
767669,ru,EU,"Европа",PL,"Польша",14,"Мазовецкое воеводство","","","","",Europe/Warsaw,1
769591,ru,EU,"Европа",PL,"Польша",18,"Подкарпатское воеводство","","","Каньчуга","",Europe/Warsaw,1
772016,ru,EU,"Европа",PL,"Польша",14,"Мазовецкое воеводство","","","","",Europe/Warsaw,1
773902,ru,EU,"Европа",PL,"Польша",14,"Мазовецкое воеводство","","","","",Europe/Warsaw,1
774393,ru,EU,"Европа",PL,"Польша",20,"Подляское воеводство","","","Хорощ","",Europe/Warsaw,1
776597,ru,EU,"Европа",PL,"Польша",20,"Подляское воеводство","","","Августов","",Europe/Warsaw,1
779451,ru,EU,"Европа",NO,"Норвегия",54,"","","","","",Europe/Oslo,0
789629,ru,EU,"Европа",MK,"Северная Македония",207,"Македонска-Каменица","","","","",Europe/Skopje,0
842062,ru,EU,"Европа",FI,"Финляндия",19,"Варсинайс-Суоми","","","","",Europe/Helsinki,1
910111,ru,AF,"Африка",ZM,"Замбия",07,"","","","Ливингстон","",Africa/Lusaka,0
933535,ru,AF,"Африка",BW,"Ботсвана",CE,"","","","","",Africa/Gaborone,0
935264,ru,AF,"Африка",RE,"Реюньон","","","","","Сен-Дени","",Indian/Reunion,1
982771,ru,AF,"Африка",ZA,"ЮАР",NC,"","","","","",Africa/Johannesburg,0
996419,ru,AF,"Африка",ZA,"ЮАР",KZN,"","","","","",Africa/Johannesburg,0
1152221,ru,AS,"Азия",TH,"Тайланд",58,"","","","","",Asia/Bangkok,0
1153035,ru,AS,"Азия",TH,"Тайланд",83,"","","","Кату","",Asia/Bangkok,0
1162261,ru,AS,"Азия",PK,"Пакистан",KP,"","","","","",Asia/Karachi,0
1168458,ru,AS,"Азия",PK,"Пакистан",JK,"Азад Кашмир","","","","",Asia/Karachi,0
1176445,ru,AS,"Азия",PK,"Пакистан",PB,"Пенджаб","","","","",Asia/Karachi,0
1184055,ru,AS,"Азия",PK,"Пакистан",SD,"Синд","","","Бадин","",Asia/Karachi,0
1214520,ru,AS,"Азия",ID,"Индонезия",SU,"Северная Суматра","","","Медан","",Asia/Jakarta,0
1224470,ru,AS,"Азия",LK,"Шри-Ланка",3,"",33,"","","",Asia/Colombo,0
1249931,ru,AS,"Азия",LK,"Шри-Ланка",1,"",13,"","","",Asia/Colombo,0
1252668,ru,AS,"Азия",IN,"Индия",AR,"Аруначал-Прадеш","","","","",Asia/Kolkata,0
1254710,ru,AS,"Азия",IN,"Индия",AS,"Ассам","","","Тезпур","",Asia/Kolkata,0
1257855,ru,AS,"Азия",IN,"Индия",HR,"Харьяна","","","","",Asia/Kolkata,0
1258099,ru,AS,"Азия",IN,"Индия",MH,"Махараштра","","","","",Asia/Kolkata,0
1264637,ru,AS,"Азия",IN,"Индия",AP,"Андхра-Прадеш","","","","",Asia/Kolkata,0
1265830,ru,AS,"Азия",IN,"Индия",OR,"","","","","",Asia/Kolkata,0
1270090,ru,AS,"Азия",IN,"Индия",RJ,"Раджастхан","","","","",Asia/Kolkata,0
1270102,ru,AS,"Азия",IN,"Индия",BR,"Бихар","","","","",Asia/Kolkata,0
1270668,ru,AS,"Азия",IN,"Индия",AP,"Андхра-Прадеш","","","Гунтура","",Asia/Kolkata,0
1277508,ru,AS,"Азия",IN,"Индия",WB,"Западная Бенгалия","","","","",Asia/Kolkata,0
1507565,ru,EU,"Европа",RU,"Россия",KGN,"Курганская область","","","Далматово","",Asia/Yekaterinburg,0
1516125,ru,AS,"Азия",MN,"Монголия",071,"","","","Алтай","",Asia/Hovd,0
1527534,ru,AS,"Азия",KG,"Кыргызстан",O,"Ошская Область","","","Ош","",Asia/Bishkek,0
1605069,ru,AS,"Азия",TH,"Тайланд",34,"","","","","",Asia/Bangkok,0
1622846,ru,AS,"Азия",ID,"Индонезия",BA,"","","","Убуд","",Asia/Makassar,0
1632937,ru,AS,"Азия",ID,"Индонезия",JB,"Западная Ява","","","","",Asia/Jakarta,0
1642227,ru,AS,"Азия",ID,"Индонезия",BT,"Бантен","","","","",Asia/Jakarta,0
1665813,ru,AS,"Азия",TW,"Тайвань",NWT,"","","","","",Asia/Taipei,0
1697018,ru,AS,"Азия",PH,"Филиппины",08,"Восточные Висайи",LEY,"","Ормок","",Asia/Manila,0
1701668,ru,AS,"Азия",PH,"Филиппины",00,"","","","Манила","",Asia/Manila,0
1701947,ru,AS,"Азия",PH,"Филиппины",07,"Центральные Висайи",CEB,"","","",Asia/Manila,0
1704271,ru,AS,"Азия",PH,"Филиппины",11,"",COM,"","","",Asia/Manila,0
1711982,ru,AS,"Азия",PH,"Филиппины",03,"Центральный Лусон",BUL,"","","",Asia/Manila,0
1713788,ru,AS,"Азия",PH,"Филиппины",12,"",SUK,"","","",Asia/Manila,0
1732705,ru,AS,"Азия",MY,"Малайзия",01,"Джохор","","","","",Asia/Kuala_Lumpur,0
1732752,ru,AS,"Азия",MY,"Малайзия",01,"Джохор","","","Джохор-Бару","",Asia/Kuala_Lumpur,0
1734418,ru,AS,"Азия",MY,"Малайзия",02,"Кедах","","","","",Asia/Kuala_Lumpur,0
1735172,ru,AS,"Азия",MY,"Малайзия",10,"Селангор","","","","",Asia/Kuala_Lumpur,0
1735459,ru,AS,"Азия",MY,"Малайзия",08,"","","","","",Asia/Kuala_Lumpur,0
1735535,ru,AS,"Азия",MY,"Малайзия",03,"","","","","",Asia/Kuala_Lumpur,0
1810820,ru,AS,"Азия",CN,"Китай",JX,"","","","Фучжоу","",Asia/Shanghai,0
1812690,ru,AS,"Азия",CN,"Китай",GX,"","","","","",Asia/Shanghai,0
1812990,ru,AS,"Азия",CN,"Китай",HA,"","","","","",Asia/Shanghai,0
1816336,ru,AS,"Азия",CN,"Китай",SD,"","","","Биньчжоу","",Asia/Shanghai,0
1819374,ru,AS,"Азия",HK,"Гонконг",NIS,"","","","","",Asia/Hong_Kong,0
1819529,ru,AS,"Азия",HK,"Гонконг",HWC,"","","","","",Asia/Hong_Kong,0
1835519,ru,AS,"Азия",KR,"Южная Корея",31,"","","","","",Asia/Seoul,0
1841149,ru,AS,"Азия",KR,"Южная Корея",48,"","","","Мирян","",Asia/Seoul,0
1855587,ru,AS,"Азия",JP,"Япония",28,"Хёго","","","","",Asia/Tokyo,0
1855670,ru,AS,"Азия",JP,"Япония",17,"","","","Нанао","",Asia/Tokyo,0
1857705,ru,AS,"Азия",JP,"Япония",20,"Нагано","","","","",Asia/Tokyo,0
1859951,ru,AS,"Азия",JP,"Япония",29,"","","","","",Asia/Tokyo,0
1862252,ru,AS,"Азия",JP,"Япония",13,"","","","","",Asia/Tokyo,0
1863289,ru,AS,"Азия",JP,"Япония",22,"Сидзуока","","","Хамамацу","",Asia/Tokyo,0
