word,pos,freq
а,conj,10155.9
а,intj,39.3
а-а,intj,30.8
абсолютно,adv,69.9
абсолютный,a,21.8
август,s,39.5
автобус,s,88.9
автомат,s,83.2
автомобиль,s,75.1
автор,s,85.9
авторитет,s,23.8
ага,intj,67.0
агент,s,34.9
ад,s,25.4
адвокат,s,29.6
адрес,s,84.8
аж,part,29.4
ай,intj,22.0
академик,s,42.9
академия,s,25.8
аккуратно,adv,55.2
аккуратный,a,27.5
акт,s,26.0
актер,s,34.8
актриса,s,19.8
акцент,s,18.5
акция,s,24.6
аллея,s,24.1
алый,a,19.9
альбом,s,19.3
американец,s,32.9
американский,a,58.4
анализ,s,20.1
ангел,s,39.7
английский,a,63.4
англичанин,s,18.7
анекдот,s,33.1
аппарат,s,49.0
аппетит,s,18.6
апрель,s,22.4
арест,s,25.0
арестовать,v,31.3
армейский,a,21.8
армия,s,128.9
аромат,s,22.0
артист,s,44.2
архив,s,19.5
асфальт,s,49.8
атака,s,34.8
атмосфера,s,23.4
ах,intj,157.5
ахнуть,v,25.8
аэродром,s,18.5
аэропорт,s,31.3
б,part,118.6
баба,s,171.3
бабка,s,88.1
бабочка,s,32.4
бабушка,s,145.8
база,s,44.1
базар,s,37.7
балкон,s,41.4
бандит,s,59.0
банк,s,76.7
банка,s,62.1
баня,s,57.2
бар,s,36.2
барабан,s,19.1
барак,s,37.6
барон,s,50.9
барышня,s,22.4
бас,s,19.2
бассейн,s,23.7
батальон,s,23.4
батарея,s,40.5
батюшка,s,25.4
башка,s,30.4
башня,s,53.0
бег,s,28.7
бегать,v,99.9
бегом,adv,21.3
беда,s,91.8
бедный,a,103.0
бедро,s,37.4
бежать,v,256.6
без,pr,1140.5
бездна,s,21.7
беззвучно,adv,21.0
безнадежно,adv,19.7
безопасность,s,39.8
безумие,s,20.6
безумный,a,35.9
безусловно,adv,23.7
белеть,v,19.0
белый,a,495.1
белье,s,49.8
бензин,s,21.0
берег,s,245.5
бережно,adv,21.7
береза,s,28.3
беречь,v,33.3
бес,s,20.0
беседа,s,71.2
беседовать,v,38.9
бесконечно,adv,24.4
бесконечный,a,54.3
беспокоить,v,26.1
беспокоиться,v,47.3
беспокойство,s,26.7
бесполезный,a,23.7
беспомощный,a,19.2
бессмысленный,a,38.5
бесшумно,adv,22.7
бетонный,a,22.8
бешеный,a,28.0
библиотека,s,42.9
бизнес,s,32.9
билет,s,85.2
бинокль,s,20.8
битва,s,22.4
бить,v,174.7
биться,v,53.6
благо,s,22.9
благодарить,v,40.4
благодарность,s,34.3
благодарный,a,25.0
благодаря,pr,36.3
благородный,a,43.9
бледный,a,71.0
блеск,s,37.7
блеснуть,v,19.8
блестеть,v,53.8
блестящий,a,44.5
ближайший,a,63.0
близкий,a,208.3
близко,adv,66.7
близость,s,22.9
блок,s,21.9
блокнот,s,21.0
блондинка,s,21.8
блюдо,s,28.3
бог,s,447.0
богатство,s,25.7
богатый,a,69.4
бодро,adv,23.8
бодрый,a,21.2
боевой,a,72.1
боец,s,49.6
божий,a,44.8
бой,s,130.0
бок,s,145.2
бокал,s,45.6
боковой,a,26.2
более,adv,395.9
более,num,44.7
болезнь,s,86.4
болеть,v,89.4
болото,s,39.0
болтать,v,42.8
болтаться,v,27.5
боль,s,168.6
больница,s,113.8
больничный,a,23.5
больно,adv,97.5
больной,a,85.5
больной,s,71.2
больше,adv,535.6
больше,num,187.0
большевик,s,30.0
больший,a,78.1
большинство,s,52.3
большой,a,811.1
бомба,s,38.3
бомж,s,21.2
бормотать,v,58.2
борода,s,56.8
бородатый,a,20.6
бороться,v,53.7
борт,s,59.3
борьба,s,75.3
босой,a,32.8
ботинок,s,66.4
бочка,s,42.2
боярин,s,19.2
бояться,v,424.5
брак,s,33.0
брат,s,261.1
братец,s,29.7
брать,v,290.0
браться,v,29.9
бревно,s,41.5
бред,s,33.7
брести,v,23.2
бригада,s,45.5
бригадир,s,35.0
бровь,s,85.8
бродить,v,58.6
бронзовый,a,19.8
бросать,v,84.0
бросаться,v,36.5
бросить,v,293.9
броситься,v,112.6
брюки,s,68.9
брюхо,s,22.2
будить,v,23.4
будка,s,31.2
будто,conj,336.6
будто,part,292.8
будущее,s,85.8
будущий,a,67.6
буква,s,80.2
буквально,adv,57.5
букет,s,25.6
бульвар,s,25.6
бумага,s,196.1
бумажка,s,68.1
бумажный,a,28.7
буркнуть,v,30.0
бурный,a,20.8
буря,s,20.4
бутерброд,s,24.4
бутылка,s,216.8
буфет,s,34.2
бы,part,2868.4
бывало,adv,27.4
бывать,v,337.7
бывший,a,155.5
бык,s,43.2
было,part,42.7
быстро,adv,371.8
быстрый,a,126.1
бытие,s,22.0
быть,v,12887.1
бюро,s,21.0
в,pr,25564.5
вагон,s,102.3
важно,adv,45.7
важный,a,160.1
валенок,s,27.1
валить,v,27.2
валяться,v,59.6
ванна,s,28.5
ванная,s,50.3
вариант,s,53.4
варить,v,41.9
ваш,apro,687.6
вверх,adv,128.5
ввести,v,27.4
вглядываться,v,33.1
вдали,adv,29.0
вдвоем,adv,54.4
вдова,s,24.7
вдоль,pr,91.6
вдруг,adv,915.7
ведать,v,25.2
ведро,s,63.4
ведь,conj,217.0
ведь,part,723.3
ведьма,s,21.7
вежливо,adv,38.8
вежливый,a,20.1
везде,advpro,52.6
везти,v,65.4
век,s,144.6
веко,s,36.1
велеть,v,93.1
великий,a,236.0
великолепный,a,31.2
величество,s,26.2
величина,s,20.4
велосипед,s,29.8
вена,s,19.0
вера,s,188.8
веранда,s,24.3
веревка,s,59.0
верить,v,263.7
вернее,adv,55.2
верно,adv,82.3
вернуть,v,82.2
вернуться,v,442.2
верный,a,95.8
вероятно,adv,77.7
версия,s,25.4
верста,s,26.4
вертеть,v,23.5
вертеться,v,28.2
вертолет,s,28.3
верх,s,32.5
верхний,a,73.0
верховный,a,20.6
вершина,s,44.6
вес,s,31.6
весело,adv,111.6
веселый,a,142.1
веселье,s,20.2
весенний,a,31.3
весло,s,19.0
весна,s,91.0
вести,v,266.9
весть,s,19.4
весь,apro,3798.3
весьма,adv,86.3
ветвь,s,28.5
ветер,s,246.1
ветерок,s,23.4
ветка,s,71.5
вечер,s,451.0
вечерний,a,51.6
вечно,adv,54.0
вечность,s,23.7
вечный,a,87.6
вещь,s,237.0
взвод,s,29.8
взгляд,s,439.5
взглянуть,v,137.1
вздох,s,40.6
вздохнуть,v,208.8
вздрагивать,v,33.1
вздрогнуть,v,56.4
вздыхать,v,41.4
взлететь,v,27.3
взор,s,32.0
взорваться,v,21.6
взрослый,a,54.3
взрослый,s,35.3
взрыв,s,54.4
взять,v,788.9
взяться,v,101.6
вид,s,495.1
видать,adv,23.8
видать,v,51.9
видение,s,22.5
видеть,v,1179.9
видеться,v,40.8
видимо,adv,144.7
виднеться,v,30.7
видно,adv,237.4
видный,a,77.4
визг,s,21.9
визжать,v,18.5
визит,s,31.3
вилка,s,26.0
вина,s,61.2
вино,s,114.2
виновато,adv,24.4
виноватый,a,117.9
винтовка,s,31.5
висеть,v,142.0
виски,s,26.6
висок,s,37.8
витрина,s,26.2
включать,v,23.0
включая,pr,21.8
включить,v,68.6
вкус,s,69.2
вкусный,a,31.2
владелец,s,29.8
владеть,v,33.8
владыка,s,22.1
влажный,a,41.9
власть,s,161.1
влево,adv,19.1
влезть,v,32.2
влияние,s,24.0
вложить,v,22.6
влюбиться,v,26.7
вместе,adv,424.4
вместо,pr,167.9
вмешаться,v,27.7
вначале,adv,31.1
вне,pr,34.1
внезапно,adv,98.8
внезапный,a,34.4
внести,v,23.6
внешний,a,43.6
внешность,s,26.6
вниз,adv,173.0
внизу,adv,82.5
внимание,s,223.4
внимательно,adv,106.3
внимательный,a,26.6
вновь,adv,132.7
внук,s,45.9
внутренний,a,95.2
внутри,adv,58.7
внутри,pr,44.0
внутрь,adv,28.8
внучка,s,23.8
во,pr,993.8
вовремя,adv,52.9
вовсе,adv,182.4
во-вторых,adv,45.2
вода,s,585.7
водитель,s,73.3
водить,v,56.4
водиться,v,25.2
водка,s,158.3
воевать,v,52.9
воевода,s,19.6
военный,a,132.3
военный,s,23.1
вождь,s,39.2
возбудить,v,19.3
возвращать,v,20.9
возвращаться,v,162.9
возвращение,s,40.2
воздух,s,263.9
воздушный,a,36.9
возить,v,30.1
возиться,v,37.2
возле,pr,215.8
возможно,adv,139.3
возможность,s,149.3
возможный,a,74.2
возмутиться,v,40.4
возникать,v,63.5
возникнуть,v,105.1
возражать,v,40.0
возразить,v,65.5
возраст,s,92.3
воин,s,36.7
вой,s,23.4
война,s,337.5
войско,s,56.5
войти,v,281.5
вокзал,s,66.3
вокруг,adv,123.7
вокруг,pr,174.7
волк,s,57.9
волна,s,114.2
волнение,s,53.3
волновать,v,31.3
волноваться,v,79.5
волос,s,243.5
волшебник,s,19.1
волшебный,a,39.4
вольный,a,24.7
воля,s,125.9
вон,advpro,33.1
вон,part,130.5
вонючий,a,19.7
воображение,s,39.2
вообразить,v,21.1
вообще,adv,394.9
вообще-то,part,43.9
во-первых,adv,57.6
вопль,s,29.1
вопрос,s,444.5
вор,s,42.7
ворваться,v,26.1
воробей,s,30.7
воровать,v,23.7
ворона,s,22.6
ворот,s,43.6
ворота,s,92.2
воротник,s,35.1
ворчать,v,19.8
восемнадцать,num,25.2
восемь,num,95.6
восемьдесят,num,28.7
воскликнуть,v,104.8
воскресенье,s,37.7
воспитание,s,21.6
воспользоваться,v,32.5
воспоминание,s,74.4
воспринимать,v,23.5
восстановить,v,23.5
восток,s,36.9
восторг,s,70.9
восточный,a,33.9
восхищение,s,23.6
восьмой,anum,39.1
вот,part,2388.4
вот-вот,adv,55.0
впервые,adv,127.0
вперед,adv,193.1
впереди,adv,112.4
впереди,pr,19.1
впечатление,s,82.1
вплотную,adv,23.6
вполне,adv,189.1
впоследствии,adv,26.9
вправду,adv,30.3
вправо,adv,20.1
впрочем,adv,230.7
впрямь,adv,31.7
враг,s,128.4
врать,v,85.3
врач,s,179.0
вредный,a,19.8
врезаться,v,19.0
